Date,RandomForest,XGBoost,LightGBM,CatBoost,MLP,RNN,LSTM,GRU,Mean,Std,Min,Max
2024-04-01,550599.87,363818.78125,790908.1136779244,1054733.5141602966,328.4158109260824,16.95623016357422,18.317913055419922,25.5101375579834,345056.1848974905,417648.63835721253,16.95623016357422,1054733.5141602966
2024-05-01,551668.38,363818.78125,799777.4547086995,1054733.5141602966,328.23410397300404,16.963293075561523,18.31790542602539,25.2117977142334,346298.3571523981,419085.49446558993,16.963293075561523,1054733.5141602966
2024-06-01,551274.28,363818.78125,822517.9602085085,1046365.9700105016,327.8970418573903,16.967144012451172,18.317907333374023,25.268110275268555,348045.680209061,420645.54473234696,16.967144012451172,1046365.9700105016
2024-07-01,552736.89,363818.78125,801521.5824156087,1064791.4156082082,327.8820598414783,16.96319580078125,18.31789779663086,24.63627052307129,347907.05858722236,421864.114616212,16.96319580078125,1064791.4156082082
2024-08-01,553651.05,363818.78125,823042.3756545538,1059804.6994932923,327.5695036655987,16.957176208496094,18.317895889282227,24.768320083618164,350088.0649117116,424093.1883673046,16.957176208496094,1059804.6994932923
2024-09-01,551313.54,363818.78125,798041.8326619313,1055434.630380348,327.3427526421907,16.999032974243164,18.317899703979492,25.191665649414062,346124.5794554062,418962.3343194877,16.999032974243164,1055434.630380348
2024-10-01,546336.61,363818.78125,797652.0241009699,1040610.5074554011,327.16183295056726,16.95558738708496,18.317895889282227,24.197805404663086,343600.5694910003,414982.97283530753,16.95558738708496,1040610.5074554011
2024-11-01,550639.13,363818.78125,773996.0261672935,1061420.1655517463,327.46577697767077,16.958309173583984,18.317899703979492,24.92966079711914,343782.7218269615,416748.9486325707,16.958309173583984,1061420.1655517463
2024-12-01,542779.41,363818.78125,808922.3206745604,1050611.5207511517,327.5506556342798,16.95677947998047,18.317909240722656,25.215715408325195,345815.00921693444,418911.7577863288,16.95677947998047,1050611.5207511517
2025-01-01,550898.07,363818.78125,809625.3136916162,1046541.9291539413,326.91616234691537,16.96847915649414,18.317895889282227,24.336519241333008,346408.82914402394,418603.7062128453,16.96847915649414,1046541.9291539413
2025-02-01,550681.25,363818.78125,804204.5607104177,1040694.6630820434,327.18984291966217,16.96330451965332,18.31791114807129,25.198266983032227,344973.3655460039,416336.3040944239,16.96330451965332,1040694.6630820434
2025-03-01,549589.81,363818.78125,820356.9388449426,1053508.95488513,327.0845061991849,16.980558395385742,18.317899703979492,24.480133056640625,348457.6685096785,421883.1632847626,16.980558395385742,1053508.95488513
2025-04-01,551668.38,363818.78125,788482.150023618,1057871.3057700573,327.5634561248823,16.95452117919922,18.317893981933594,23.863706588745117,345278.4145776938,418118.3269744825,16.95452117919922,1057871.3057700573
2025-05-01,551668.38,363818.78125,799095.6187613023,1043991.113931689,327.38192281247046,16.95469856262207,18.317888259887695,23.716093063354492,344870.0330682112,416394.516169209,16.95469856262207,1043991.113931689
2025-06-01,551274.28,363818.78125,824947.3657266744,1046106.0765096025,326.9603402177209,16.95952796936035,18.317888259887695,24.153528213500977,348316.6118463672,420976.4038711523,16.95952796936035,1046106.0765096025
2025-07-01,552736.89,363818.78125,799095.6187613023,1055203.48529061,327.02961130895574,16.954683303833008,18.3178768157959,23.53123664855957,346405.0760887487,419169.0202318228,16.954683303833008,1055203.48529061
2025-08-01,553651.05,363818.78125,793596.9923513951,1059804.6994932923,326.7175932408587,16.955041885375977,18.31787109375,23.580806732177734,346407.136800955,419505.261435413,16.955041885375977,1059804.6994932923
2025-09-01,553651.05,363818.78125,800471.2381800972,1050391.7886233265,326.54435223395444,16.955265045166016,18.3178653717041,23.583620071411133,346089.7823945182,418286.5920300122,16.955265045166016,1050391.7886233265
2025-10-01,553543.29,363818.78125,773996.0261672935,1061420.1655517463,326.6091687198465,16.954254150390625,18.31787872314453,23.60006332397461,344145.46804174467,416956.34891797375,16.954254150390625,1061420.1655517463
2025-11-01,551205.78,363818.78125,805346.3995425729,1066463.0073087679,326.51518293165174,16.95570945739746,18.317890167236328,24.14622688293457,348402.4878888475,422753.53272005875,16.95570945739746,1066463.0073087679
2025-12-01,545116.92,363818.78125,777571.947299281,1067563.290100603,326.70716407173336,16.953777313232422,18.317886352539062,23.57313346862793,344307.0613263863,418406.39194453135,16.953777313232422,1067563.290100603
2025-12-31,545116.92,363818.78125,777571.947299281,1067563.290100603,326.69066170501094,16.953773498535156,18.317886352539062,23.59177589416504,344307.0615934168,418406.3916917096,16.953773498535156,1067563.290100603
