Date,승차인원수,Type
2015-01-01,1871129.0,History
2015-02-01,1533571.0,History
2015-03-01,1780862.0,History
2015-04-01,1681821.0,History
2015-05-01,2144330.0,History
2015-06-01,1125689.0,History
2015-07-01,1549797.0,History
2015-08-01,1773664.0,History
2015-09-01,1585350.0,History
2015-10-01,1939094.0,History
2015-11-01,1900348.0,History
2015-12-01,1588373.0,History
2016-01-01,1872911.0,History
2016-02-01,1515941.0,History
2016-03-01,1555211.0,History
2016-04-01,1936143.0,History
2016-05-01,1848198.0,History
2016-06-01,1658762.0,History
2016-07-01,1954514.0,History
2016-08-01,1543033.0,History
2016-09-01,1654399.0,History
2016-10-01,2087166.0,History
2016-11-01,1881893.0,History
2016-12-01,1588154.0,History
2017-01-01,1400158.0,History
2017-02-01,1299845.0,History
2017-03-01,1399381.0,History
2017-04-01,1643748.0,History
2017-05-01,1430857.0,History
2017-06-01,1445164.0,History
2017-07-01,1435224.0,History
2017-08-01,1306112.0,History
2017-09-01,1560339.0,History
2017-10-01,1484009.0,History
2017-11-01,1531124.0,History
2017-12-01,1761118.0,History
2018-01-01,1276931.0,History
2018-02-01,1284708.0,History
2018-03-01,1515686.0,History
2018-04-01,1562367.0,History
2018-05-01,1496732.0,History
2018-06-01,1578531.0,History
2018-07-01,1394284.0,History
2018-08-01,1402150.0,History
2018-09-01,1512656.0,History
2018-10-01,1566246.0,History
2018-11-01,1776621.0,History
2018-12-01,1694698.0,History
2019-01-01,1319758.0,History
2019-02-01,1303534.0,History
2019-03-01,1748962.0,History
2019-04-01,1537327.0,History
2019-05-01,1671525.0,History
2019-06-01,1626322.0,History
2019-07-01,1331863.0,History
2019-08-01,1562505.0,History
2019-09-01,1444086.0,History
2019-10-01,1466501.0,History
2019-11-01,1761004.0,History
2019-12-01,1620258.0,History
2020-01-01,1448925.0,History
2020-02-01,791268.0,History
2020-03-01,345898.0,History
2020-04-01,472798.0,History
2020-05-01,917668.0,History
2020-06-01,835542.0,History
2020-07-01,1003247.0,History
2020-08-01,941530.0,History
2020-09-01,579649.0,History
2020-10-01,958859.0,History
2020-11-01,1032156.0,History
2020-12-01,516540.0,History
2021-01-01,675495.0,History
2021-02-01,706312.0,History
2021-03-01,834890.0,History
2021-04-01,971002.0,History
2021-05-01,1104996.0,History
2021-06-01,973204.0,History
2021-07-01,888456.0,History
2021-08-01,763214.0,History
2021-09-01,776239.0,History
2021-10-01,1287633.0,History
2021-11-01,1284344.0,History
2021-12-01,1134901.0,History
2022-01-01,1034298.0,History
2022-02-01,819772.0,History
2022-03-01,830548.0,History
2022-04-01,1376311.0,History
2022-05-01,1618490.0,History
2022-06-01,1429347.0,History
2022-07-01,1702185.0,History
2022-08-01,1334406.0,History
2022-09-01,1515904.0,History
2022-10-01,1870696.0,History
2022-11-01,1654162.0,History
2022-12-01,1767526.0,History
2023-01-01,1509485.0,History
2023-02-01,1553840.0,History
2023-03-01,1633388.0,History
2023-04-01,1831775.0,History
2023-05-01,1611120.0,History
2023-06-01,1678704.0,History
2023-07-01,1688805.0,History
2023-08-01,1519750.0,History
2023-09-01,1730278.0,History
2023-10-01,1823506.0,History
2023-11-01,1776440.0,History
2023-12-01,2030693.0,History
2024-01-01,1512083.0,History
2024-02-01,1566682.0,History
2024-03-01,2009616.0,History
2024-04-01,1779076.5861280616,Forecast
2024-05-01,1701632.424234415,Forecast
2024-06-01,1683484.7767962299,Forecast
2024-07-01,1688606.9789617467,Forecast
2024-08-01,1616386.1462203152,Forecast
2024-09-01,1718925.4798935426,Forecast
2024-10-01,1780003.246346547,Forecast
2024-11-01,1750375.6941505992,Forecast
2024-12-01,1843499.303631249,Forecast
2025-01-01,1501046.7766654987,Forecast
2025-02-01,1537721.8078133895,Forecast
2025-03-01,1814327.7482357393,Forecast
2025-04-01,1800210.1170809225,Forecast
2025-05-01,1714114.7307660263,Forecast
2025-06-01,1699832.775102858,Forecast
2025-07-01,1716122.4637954226,Forecast
2025-08-01,1636173.130081415,Forecast
2025-09-01,1741858.8156549546,Forecast
2025-10-01,1803662.2154041012,Forecast
2025-11-01,1788700.3585228398,Forecast
2025-12-01,1888117.2246456456,Forecast
