Date,Type,Actual,Predicted
2015-01-01,Train,1871129.0,1871129.0
2015-02-01,Train,1533571.0,1533571.0
2015-03-01,Train,1780862.0,1780862.0
2015-04-01,Train,1681821.0,1681821.0
2015-05-01,Train,2144330.0,2144330.0
2015-06-01,Train,1125689.0,1125689.0
2015-07-01,Train,1549797.0,1549797.0
2015-08-01,Train,1773664.0,1773664.0
2015-09-01,Train,1585350.0,1585350.0
2015-10-01,Train,1939094.0,1939094.0
2015-11-01,Train,1900348.0,1900348.0
2015-12-01,Train,1588373.0,1588373.0
2016-01-01,Train,1872911.0,1872911.0
2016-02-01,Train,1515941.0,1515941.0
2016-03-01,Train,1555211.0,1555211.0
2016-04-01,Train,1936143.0,1936143.0
2016-05-01,Train,1848198.0,1848198.0
2016-06-01,Train,1658762.0,1658762.0
2016-07-01,Train,1954514.0,1954514.0
2016-08-01,Train,1543033.0,1543033.0
2016-09-01,Train,1654399.0,1654399.0
2016-10-01,Train,2087166.0,2087166.0
2016-11-01,Train,1881893.0,1881893.0
2016-12-01,Train,1588154.0,1588154.0
2017-01-01,Train,1400158.0,1400158.0
2017-02-01,Train,1299845.0,1299845.0
2017-03-01,Train,1399381.0,1399381.0
2017-04-01,Train,1643748.0,1643748.0
2017-05-01,Train,1430857.0,1430857.0
2017-06-01,Train,1445164.0,1445164.0
2017-07-01,Train,1435224.0,1435224.0
2017-08-01,Train,1306112.0,1306112.0
2017-09-01,Train,1560339.0,1560339.0
2017-10-01,Train,1484009.0,1484009.0
2017-11-01,Train,1531124.0,1531124.0
2017-12-01,Train,1761118.0,1761118.0
2018-01-01,Train,1276931.0,1276931.0
2018-02-01,Train,1284708.0,1284708.0
2018-03-01,Train,1515686.0,1515686.0
2018-04-01,Train,1562367.0,1562367.0
2018-05-01,Train,1496732.0,1496732.0
2018-06-01,Train,1578531.0,1578531.0
2018-07-01,Train,1394284.0,1394284.0
2018-08-01,Train,1402150.0,1402150.0
2018-09-01,Train,1512656.0,1512656.0
2018-10-01,Train,1566246.0,1566246.0
2018-11-01,Train,1776621.0,1776621.0
2018-12-01,Train,1694698.0,1694698.0
2019-01-01,Train,1319758.0,1319758.0
2019-02-01,Train,1303534.0,1303534.0
2019-03-01,Train,1748962.0,1748962.0
2019-04-01,Train,1537327.0,1537327.0
2019-05-01,Train,1671525.0,1671525.0
2019-06-01,Train,1626322.0,1626322.0
2019-07-01,Train,1331863.0,1331863.0
2019-08-01,Train,1562505.0,1562505.0
2019-09-01,Train,1444086.0,1444086.0
2019-10-01,Train,1466501.0,1466501.0
2019-11-01,Train,1761004.0,1761004.0
2019-12-01,Train,1620258.0,1620258.0
2020-01-01,Train,1448925.0,1448925.0
2020-02-01,Train,791268.0,791268.0
2020-03-01,Train,345898.0,345898.0
2020-04-01,Train,472798.0,472798.0
2020-05-01,Train,917668.0,917668.0
2020-06-01,Train,835542.0,835542.0
2020-07-01,Train,1003247.0,1003247.0
2020-08-01,Train,941530.0,941530.0
2020-09-01,Train,579649.0,579649.0
2020-10-01,Train,958859.0,958859.0
2020-11-01,Train,1032156.0,1032156.0
2020-12-01,Train,516540.0,516540.0
2021-01-01,Train,675495.0,675495.0
2021-02-01,Train,706312.0,706312.0
2021-03-01,Train,834890.0,834890.0
2021-04-01,Train,971002.0,971002.0
2021-05-01,Train,1104996.0,1104996.0
2021-06-01,Train,973204.0,973204.0
2021-07-01,Train,888456.0,888456.0
2021-08-01,Train,763214.0,763214.0
2021-09-01,Train,776239.0,776239.0
2021-10-01,Train,1287633.0,1287633.0
2021-11-01,Train,1284344.0,1284344.0
2021-12-01,Train,1134901.0,1134901.0
2022-01-01,Train,1034298.0,1034298.0
2022-02-01,Train,819772.0,819772.0
2022-03-01,Train,830548.0,830548.0
2022-04-01,Train,1376311.0,1376311.0
2022-05-01,Train,1618490.0,1618490.0
2022-06-01,Train,1429347.0,1429347.0
2022-07-01,Train,1702185.0,1702185.0
2022-08-01,Train,1334406.0,1334406.0
2022-09-01,Train,1515904.0,1515904.0
2022-10-01,Train,1870696.0,1870696.0
2022-11-01,Train,1654162.0,1654162.0
2022-12-01,Train,1767526.0,1767526.0
2023-01-01,Train,1509485.0,1509485.0
2023-02-01,Train,1553840.0,1553840.0
2023-03-01,Train,1633388.0,1633388.0
2023-04-01,Valid,1831775.0,1138518.6808423984
2023-05-01,Valid,1611120.0,1106358.152938384
2023-06-01,Valid,1678704.0,1111514.7334434006
2023-07-01,Valid,1688805.0,1091980.2753334718
2023-08-01,Valid,1519750.0,1091374.6118788458
2023-09-01,Valid,1730278.0,1077964.7356165065
2023-10-01,Valid,1823506.0,1093557.8927887403
2023-11-01,Valid,1776440.0,1088957.777428122
2023-12-01,Valid,2030693.0,1106882.61911645
2024-01-01,Valid,1512083.0,1101230.742089868
2024-02-01,Valid,1566682.0,1094041.798204283
2024-03-01,Valid,2009616.0,1094410.4997879453
2024-04-01,Test,,1054733.5141602966
2024-05-01,Test,,1054733.5141602966
2024-06-01,Test,,1046365.9700105016
2024-07-01,Test,,1064791.4156082082
2024-08-01,Test,,1059804.6994932923
2024-09-01,Test,,1055434.630380348
2024-10-01,Test,,1040610.5074554011
2024-11-01,Test,,1061420.1655517463
2024-12-01,Test,,1050611.5207511517
2025-01-01,Test,,1046541.9291539413
2025-02-01,Test,,1040694.6630820434
2025-03-01,Test,,1053508.95488513
2025-04-01,Test,,1057871.3057700573
2025-05-01,Test,,1043991.113931689
2025-06-01,Test,,1046106.0765096025
2025-07-01,Test,,1055203.48529061
2025-08-01,Test,,1059804.6994932923
2025-09-01,Test,,1050391.7886233265
2025-10-01,Test,,1061420.1655517463
2025-11-01,Test,,1066463.0073087679
2025-12-01,Test,,1067563.290100603
2025-12-31,Test,,1067563.290100603
