CatBoost,RandomForest,XGBoost,LightGBM,Date
1646252,1728468,1697165,1648020,2024-04-01
1666848,1691489,1651357,1670359,2024-05-01
1849455,1894828,1967962,1847936,2024-06-01
1614416,1657207,1596716,1570983,2024-07-01
1677473,1664360,1742702,1711156,2024-08-01
1706878,1775165,1816265,1685205,2024-09-01
1686258,1728394,1676023,1662169,2024-10-01
1797879,1771647,1859819,1832333,2024-11-01
1815443,1827074,1859792,1788126,2024-12-01
1627515,1627146,1611221,1641333,2025-01-01
1620776,1625407,1637899,1615688,2025-02-01
1821196,1838904,1975872,1883385,2025-03-01
1662266,1687630,1638574,1611267,2025-04-01
1713815,1717316,1836408,1754984,2025-05-01
1704566,1775348,1811427,1678623,2025-06-01
1639806,1677093,1661771,1569402,2025-07-01
1814353,1815836,1900336,1829113,2025-08-01
1674435,1739274,1676727,1589000,2025-09-01
1680044,1714643,1663885,1659959,2025-10-01
1869006,1899353,1921471,1910789,2025-11-01
1731475,1754981,1728680,1699845,2025-12-01
